Numero_solicitudes;Resumen;Nombre_organizacion;Duracion_horas;Cantidad_pagada;Trabajo_completado;Fecha_inicio;Hora_inicio;Categoria;Cualidades_buscadas
5;Help us set up a new training classroom to teach young adults personal finance!;Cents Ability Inc.;7;167.28;false;06/02/2022;15:51:30;StrengtheningCommunities;seriedad, comprensividad, serenidad
5;Mentor homeless children between the ages of 2 to 12 at our weekend enrichment program.;Metropolitan Council on Jewish Poverty;5;168.52;true;08/10/2022;16:58:44;Education;seriedad, empatia, simpatia
10;In celebration of Father's Day, we invite fathers and their son or daughter to volunteer at our Senior Lunch Program this Sunday, June 19th at 12pm.;Metropolitan Council on Jewish Poverty;8;190.93;true;04/08/2022;17:57:08;HelpingNeighborsinNeed;seriedad, tranquilidad, serenidad
40;The Police Athletic League of New York City seeks talented and creative volunteers to assist with the planning and delivery of special events hosted by PAL throughout New York City.  Our events cater to youth and adults and are fun filled.;Police Athletic League Of New York;7;157.88;false;04/05/2022;12:38:29;StrengtheningCommunities;compromiso, tranquilidad, serenidad
2;Helping children 6-12 design a stage for a December 3 production.;The Neighborhood Work Play Kids Theater;8;104.34;false;01/15/2022;12:45:01;StrengtheningCommunities;compromiso, tranquilidad, simpatia
5;Jewish Home Lifecare is seeking volunteers to assist with event set-up and transport of residents to special events activiteis on holidays, weekends, and during evenings;Jewish Home Lifecare Manhattan Division;4;142.41;true;03/08/2022;12:20:17;HelpingNeighborsinNeed;seriedad, tranquilidad, simpatia
50;Please volunteer for Earth Day events on April 21st, 22nd, or 23rd.;Earth Day New York;7;112.24;false;06/21/2022;11:45:45;Environment;seriedad, tranquilidad, serenidad
20;Share information with NYC's street vendors about their rights and responsibilities. Get to know another dimension the city,;Street Vendor Project;8;140.58;true;04/06/2022;16:49:41;StrengtheningCommunities;seriedad, comprensividad, amabilidad
15;ARTs East New York is looking for open-minded, motivated volunteers with an interest in the arts and community development to further the mission of our organization. Volunteers should have strong work ethic and willingness to explore the idea of using the arts as a tool for change.;ARTs East New York Inc.;5;199.37;false;08/16/2022;11:43:24;StrengtheningCommunities;compromiso, empatia, amabilidad
5;Volunteering at the Center for Architecture Foundation is a great way to contribute to the community, learn new skills, and have fun! We have volunteer opportunities to suit every interest.;Center for Architecture Foundation;4;191.69;true;12/15/2022;10:36:06;StrengtheningCommunities;seriedad, comprensividad, serenidad
75;Street Games is an event that brings thousands of kids and adults alike out to learn (or relive) some of the classic street games from the 60’s and 70’s and reintroduce them to a new generation with a modern twist! Held in Thomas Jefferson Park on Saturday, May 7th from 11:00 a.m. to 3:00 p.m.;New York City Department of Parks & Recreation;4;183.08;false;08/18/2022;11:11:20;Health;compromiso, tranquilidad, serenidad
6;This dedication is of the Nottage Community Art Gallery for Ruby Nottage, the mother of famed playwright, Lynn Nottage.;YWCA of Brooklyn;7;138.53;true;09/23/2022;14:36:06;StrengtheningCommunities;seriedad, comprensividad, amabilidad
99;A social media campaign is a focused marketing push toward an organization's goal, whether it's boosting attendance at an event, fundraising for a specific project, or spreading awareness about a program or issue.;Catchafire;4;148.73;true;07/26/2022;17:39:11;StrengtheningCommunities;seriedad, comprensividad, serenidad
25;Join Friends and the Hudson River Park Trust in our efforts to help care for the more than 400 acres of water in Hudson River Park's Estuarine Sanctuary. The Clean Sanctuary Campaign has been created to remove debris from the river as floatables arrive daily with the tide.;Friends of Hudson River Park;8;119.62;false;05/27/2022;14:31:28;Environment;compromiso, empatia, serenidad
5;Teacher's assistant for one hour per week in the Bronx;Bronx ESL Program;8;103.38;false;05/20/2022;13:33:27;HelpingNeighborsinNeed;seriedad, empatia, simpatia
20;Recycling in the city has declined and we need YOU to help get NYC recycling again! Volunteers will work with OROE's borough-wide coordinators to teach New Yorkers to recycle more and waste less.;Office of Recycling Outreach and Education;6;120.89;true;05/03/2022;16:20:12;StrengtheningCommunities;seriedad, empatia, simpatia
30;Take part in a fun night of reading and creating crafts with children!;Jumpstart for Young Children;7;142.38;false;02/09/2022;16:48:20;Education;compromiso, tranquilidad, serenidad
30;RAINN (Rape, Abuse & Incest National Network) is seeking volunteers in the New York City area to assist with the National Sexual Assault Online Hotline.;Rape Abuse & Incest National Network;7;126.35;true;06/03/2022;15:24:56;HelpingNeighborsinNeed;compromiso, tranquilidad, serenidad
20;Tutors wanted to help students in grades 3-5 learn basic math skills.;Mosaic Preparatory Academy;6;111.22;true;05/11/2022;10:18:38;Education;seriedad, empatia, simpatia
10;On Thursday, April 21st our partners at America Works, and HRA Food Stamp Nutrition and Outreach Program (FSNOP) will be on-site at the Mayor’s Office of Veterans’ Affairs (MOVA) 346 Broadway, Room 817 to assist veterans seeking employment and apply for Food Stamps.;NYC Service;4;102.85;true;03/12/2022;14:09:49;HelpingNeighborsinNeed;compromiso, tranquilidad, serenidad
20;Recycling in the city has declined and we need YOU to help get NYC recycling again!;Office of Recycling Outreach and Education;5;168.16;true;01/10/2022;13:54:14;Environment;compromiso, comprensividad, amabilidad
1;We are looking for an individual to help with registration and outreach for our soccer programming.  Tasks include administrative duties, data entry, emails and calls, and designing flyers.;Up2Us;4;130.08;false;01/13/2022;12:13:05;StrengtheningCommunities;seriedad, comprensividad, simpatia
99;A compelling story is vital to almost every successful communication product. Well-told short stories enable an organization to get messages across to the public and supporters in an engaging and accessible manner.;Catchafire;6;159.27;true;12/11/2022;13:13:16;StrengtheningCommunities;compromiso, tranquilidad, amabilidad
12;Looking for an Older Adult Friendly Visitor who can provide general companionship and general assistance to seniors in the community.;Carter Burden Center for the Aging;4;139.02;false;03/13/2022;12:04:57;HelpingNeighborsinNeed;seriedad, empatia, amabilidad
